participant,participantLabel,participantDescription,countryCode,inception,dissolved,government,governmentLabel,participantID,govtID
http://www.wikidata.org/entity/Q423,North Korea,sovereign state in East Asia,PRK,1948-09-09T00:00:00Z,,http://www.wikidata.org/entity/Q50686,single-party state,Q423,Q50686
http://www.wikidata.org/entity/Q664,New Zealand,"sovereign state in Oceania, situated on two main and around 600 smaller islands in the southwestern Pacific Ocean",NZL,,,http://www.wikidata.org/entity/Q3330103,parliamentary monarchy,Q664,Q3330103
http://www.wikidata.org/entity/Q774,Guatemala,sovereign state in Central America,GTM,1821-01-01T00:00:00Z,,,,Q774,
http://www.wikidata.org/entity/Q1037,Rwanda,sovereign state in Africa,RWA,1962-01-01T00:00:00Z,,,,Q1037,
http://www.wikidata.org/entity/Q170468,United Arab Republic,former country,,1958-01-01T00:00:00Z,1961-09-28T00:00:00Z,http://www.wikidata.org/entity/Q49890,semi-presidential system,Q170468,Q49890
http://www.wikidata.org/entity/Q207521,Ethiopian Empire,1270–1974 empire in East Africa,,1137-01-01T00:00:00Z,1974-01-01T00:00:00Z,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q207521,Q41614
http://www.wikidata.org/entity/Q1049,Sudan,sovereign state in Northeast Africa,SDN,1956-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q1049,Q512187
http://www.wikidata.org/entity/Q1045,Somalia,sovereign state in Africa,SOM,1960-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q1045,Q512187
http://www.wikidata.org/entity/Q1041,Senegal,sovereign state in Western Africa,SEN,1960-01-01T00:00:00Z,,,,Q1041,
http://www.wikidata.org/entity/Q207521,Ethiopian Empire,1270–1974 empire in East Africa,,1137-01-01T00:00:00Z,1974-01-01T00:00:00Z,http://www.wikidata.org/entity/Q184558,absolute monarchy,Q207521,Q184558
http://www.wikidata.org/entity/Q170468,United Arab Republic,former country,,1958-01-01T00:00:00Z,1961-09-28T00:00:00Z,http://www.wikidata.org/entity/Q43702,federal state,Q170468,Q43702
http://www.wikidata.org/entity/Q262,Algeria,sovereign state in North Africa,DZA,1962-07-05T00:00:00Z,,,,Q262,
http://www.wikidata.org/entity/Q212,Ukraine,sovereign state in Eastern Europe,UKR,1991-08-24T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q212,Q7270
http://www.wikidata.org/entity/Q159,Russia,sovereign state in Eastern Europe and Northern Asia,RUS,1991-12-26T00:00:00Z,,http://www.wikidata.org/entity/Q49890,semi-presidential system,Q159,Q49890
http://www.wikidata.org/entity/Q258,South Africa,sovereign state in Southern Africa,ZAF,1910-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q188759,representative democracy,Q258,Q188759
http://www.wikidata.org/entity/Q258,South Africa,sovereign state in Southern Africa,ZAF,1910-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q258,Q4198907
http://www.wikidata.org/entity/Q159,Russia,sovereign state in Eastern Europe and Northern Asia,RUS,1991-12-26T00:00:00Z,,http://www.wikidata.org/entity/Q188759,representative democracy,Q159,Q188759
http://www.wikidata.org/entity/Q241,Cuba,sovereign state situated on an island in the Caribbean Sea,CUB,1898-12-10T00:00:00Z,,,,Q241,
http://www.wikidata.org/entity/Q159,Russia,sovereign state in Eastern Europe and Northern Asia,RUS,1991-12-26T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q159,Q512187
