event,eventLabel,eventDescription,startDate,endDate,location,casualties,prevWar,nextWar,largerConflict,largerConflictLabel,largerConflictDescription,warID,locationID,prevWarID,nextWarID,largerConflictID
http://www.wikidata.org/entity/Q182865,War in Afghanistan,war in Afghanistan since 2001,2001-10-07T00:00:00Z,2014-12-28T00:00:00Z,http://www.wikidata.org/entity/Q889,,http://www.wikidata.org/entity/Q12302518,http://www.wikidata.org/entity/Q18920712,http://www.wikidata.org/entity/Q185729,War on Terror,international military campaign that started after 11 September 2001,Q182865,Q889,Q12302518,Q18920712,Q185729
http://www.wikidata.org/entity/Q181533,Bosnian War,international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995,1992-04-06T00:00:00Z,1995-12-14T00:00:00Z,http://www.wikidata.org/entity/Q188736,,,,http://www.wikidata.org/entity/Q242352,Yugoslav Wars,ethnic conflicts fought from 1991 to 2001 on the territory of former Yugoslavia,Q181533,Q188736,,,Q242352
http://www.wikidata.org/entity/Q151622,Israeli–Palestinian conflict,military and political struggle between Israel and the Palestinians,1950-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q219060,14500,http://www.wikidata.org/entity/Q2992527,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q151622,Q219060,Q2992527,,Q8669
http://www.wikidata.org/entity/Q48249,Falklands War,1982 war between Argentina and the United Kingdom,1982-04-02T00:00:00Z,1982-06-14T00:00:00Z,http://www.wikidata.org/entity/Q35086,891,,,http://www.wikidata.org/entity/Q4379537,Falkland Islands sovereignty dispute,dispute between Argentina and the United Kingdom,Q48249,Q35086,,,Q4379537
http://www.wikidata.org/entity/Q49104,2006 Lebanon War,military conflict between Hezbollah and Israeli forces,2006-07-12T00:00:00Z,2006-08-14T00:00:00Z,http://www.wikidata.org/entity/Q81483,1191,,,http://www.wikidata.org/entity/Q3241199,Israeli-Lebanese conflict,"war between Israeli, Lebanese, Syrian, and other forces in Lebanon since 1948",Q49104,Q81483,,,Q3241199
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q899,,,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q49100,Q899,,,Q8669
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q7204,,,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q49100,Q7204,,,Q8669
http://www.wikidata.org/entity/Q49092,1948 Arab–Israeli War,"military conflict (1948–9) between the newly declared State of Israel and states of the Arab League and Palestinian militias, ending with Israeli victory, Jordanian occpuation of West Bank, and Egyptian occupation of the Gaza Strip",1947-10-30T00:00:00Z,1949-03-10T00:00:00Z,http://www.wikidata.org/entity/Q1480109,,,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q49092,Q1480109,,,Q8669
http://www.wikidata.org/entity/Q8740,Vietnam War,"1964–1975 armed conflict in Vietnam, Laos, and Cambodia between North Vietnam and South Vietnam",1965-11-01T00:00:00Z,1975-04-30T00:00:00Z,http://www.wikidata.org/entity/Q180573,4211459,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q8740,Q180573,,,Q8683
http://www.wikidata.org/entity/Q75756,Second Congo War,war in Africa,1998-08-02T00:00:00Z,2003-06-30T00:00:00Z,http://www.wikidata.org/entity/Q974,,,,http://www.wikidata.org/entity/Q364610,Congo Civil War,Wikimedia disambiguation page,Q75756,Q974,,,Q364610
http://www.wikidata.org/entity/Q49092,1948 Arab–Israeli War,"military conflict (1948–9) between the newly declared State of Israel and states of the Arab League and Palestinian militias, ending with Israeli victory, Jordanian occpuation of West Bank, and Egyptian occupation of the Gaza Strip",1947-10-30T00:00:00Z,1949-03-10T00:00:00Z,http://www.wikidata.org/entity/Q193714,,,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q49092,Q193714,,,Q8669
http://www.wikidata.org/entity/Q37643,Gulf War,1990–1991 war between Iraq and Coalition Forces,1990-08-02T00:00:00Z,1991-02-28T00:00:00Z,http://www.wikidata.org/entity/Q796,,,,,,,Q37643,Q796,,,
http://www.wikidata.org/entity/Q37643,Gulf War,1990–1991 war between Iraq and Coalition Forces,1990-08-02T00:00:00Z,1991-02-28T00:00:00Z,http://www.wikidata.org/entity/Q801,,,,,,,Q37643,Q801,,,
