event,eventLabel,participant,participantLabel,warID,participantID
http://www.wikidata.org/entity/Q838695,First Congo War,http://www.wikidata.org/entity/Q2367261,Alliance of Democratic Forces for the Liberation of Congo,Q838695,Q2367261
http://www.wikidata.org/entity/Q1072042,War in Somalia (2006-2009),http://www.wikidata.org/entity/Q1641888,African Union Mission to Somalia,Q1072042,Q1641888
http://www.wikidata.org/entity/Q3119132,Indo-Pakistani wars and conflicts,http://www.wikidata.org/entity/Q843,Pakistan,Q3119132,Q843
http://www.wikidata.org/entity/Q3119132,Indo-Pakistani wars and conflicts,http://www.wikidata.org/entity/Q668,India,Q3119132,Q668
http://www.wikidata.org/entity/Q3151731,Dirty War,http://www.wikidata.org/entity/Q96,Mexico,Q3151731,Q96
http://www.wikidata.org/entity/Q1072042,War in Somalia (2006-2009),http://www.wikidata.org/entity/Q1153941,Oromo Liberation Front,Q1072042,Q1153941
http://www.wikidata.org/entity/Q748780,First Indochina War,http://www.wikidata.org/entity/Q2638486,Kingdom of Cambodia,Q748780,Q2638486
http://www.wikidata.org/entity/Q1354920,Djiboutian–Eritrean border conflict,http://www.wikidata.org/entity/Q986,Eritrea,Q1354920,Q986
http://www.wikidata.org/entity/Q1354920,Djiboutian–Eritrean border conflict,http://www.wikidata.org/entity/Q977,Djibouti,Q1354920,Q977
http://www.wikidata.org/entity/Q1072042,War in Somalia (2006-2009),http://www.wikidata.org/entity/Q737040,Islamic Courts Union,Q1072042,Q737040
http://www.wikidata.org/entity/Q838695,First Congo War,http://www.wikidata.org/entity/Q2862906,Army for the Liberation of Rwanda,Q838695,Q2862906
http://www.wikidata.org/entity/Q748780,First Indochina War,http://www.wikidata.org/entity/Q1193879,State of Vietnam,Q748780,Q1193879
http://www.wikidata.org/entity/Q1271059,Shifta War,http://www.wikidata.org/entity/Q114,Kenya,Q1271059,Q114
http://www.wikidata.org/entity/Q1519107,War in Afghanistan,,,Q1519107,
http://www.wikidata.org/entity/Q1072042,War in Somalia (2006-2009),http://www.wikidata.org/entity/Q2298600,Alliance for the Re-liberation of Somalia,Q1072042,Q2298600
http://www.wikidata.org/entity/Q1072042,War in Somalia (2006-2009),http://www.wikidata.org/entity/Q7294660,Ras Kamboni Brigades,Q1072042,Q7294660
http://www.wikidata.org/entity/Q1413732,Kashmir conflict,http://www.wikidata.org/entity/Q843,Pakistan,Q1413732,Q843
http://www.wikidata.org/entity/Q1413732,Kashmir conflict,http://www.wikidata.org/entity/Q668,India,Q1413732,Q668
http://www.wikidata.org/entity/Q748780,First Indochina War,http://www.wikidata.org/entity/Q870055,Kingdom of Laos,Q748780,Q870055
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q183,Germany,Q182865,Q183
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q408,Australia,Q182865,Q408
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q16,Canada,Q182865,Q16
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q145,United Kingdom,Q182865,Q145
http://www.wikidata.org/entity/Q959303,War in Abkhazia (1998),http://www.wikidata.org/entity/Q2593093,Forest Brothers,Q959303,Q2593093
http://www.wikidata.org/entity/Q179275,War in North-West Pakistan,http://www.wikidata.org/entity/Q2429253,Islamic State of Iraq and the Levant,Q179275,Q2429253
http://www.wikidata.org/entity/Q2992536,Basque conflict,http://www.wikidata.org/entity/Q2276662,Basque National Liberation Movement,Q2992536,Q2276662
http://www.wikidata.org/entity/Q179275,War in North-West Pakistan,http://www.wikidata.org/entity/Q3186738,Jundallah,Q179275,Q3186738
http://www.wikidata.org/entity/Q3429692,55 Day War,,,Q3429692,
http://www.wikidata.org/entity/Q6022577,Indian intervention in the Sri Lankan Civil War,http://www.wikidata.org/entity/Q854,Sri Lanka,Q6022577,Q854
http://www.wikidata.org/entity/Q748780,First Indochina War,http://www.wikidata.org/entity/Q94682,Lao Issara,Q748780,Q94682
http://www.wikidata.org/entity/Q748780,First Indochina War,http://www.wikidata.org/entity/Q190949,Vietnamese Independence League,Q748780,Q190949
http://www.wikidata.org/entity/Q185729,War on Terror,http://www.wikidata.org/entity/Q34490,Al-Qaeda,Q185729,Q34490
http://www.wikidata.org/entity/Q959303,War in Abkhazia (1998),http://www.wikidata.org/entity/Q666374,Mkhedrioni,Q959303,Q666374
http://www.wikidata.org/entity/Q1069736,Croat–Bosniak War,http://www.wikidata.org/entity/Q1274468,Republic of Bosnia and Herzegovina,Q1069736,Q1274468
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q30,United States of America,Q182865,Q30
http://www.wikidata.org/entity/Q959303,War in Abkhazia (1998),http://www.wikidata.org/entity/Q2654934,White Legion,Q959303,Q2654934
