warID,warName,startDate,endDate,warDescription,prevWarID,nextWarID
Q1052332,War in Somalia (2009–),2009-01-31T00:00:00Z,,"present phase of the Somali Civil War, which is concentrated in southern Somalia",Q1072042,
Q1021175,First Ivorian Civil War,2002-09-19T00:00:00Z,2007-03-04T00:00:00Z,civil war,,
Q657661,Mozambican Civil War,1977-05-30T00:00:00Z,1992-10-04T00:00:00Z,civil war,,
Q426722,Rwandan Civil War,1990-10-01T00:00:00Z,1993-08-04T00:00:00Z,1990-1994 civil conflict in Rwanda,,
Q55600802,1964 Ethiopian-Somali Border War,1964-02-01T00:00:00Z,1964-04-01T00:00:00Z,,,
Q877450,Laotian Civil War,1959-05-23T00:00:00Z,1975-12-02T00:00:00Z,1959–1975 civil war in Laos,,
Q1915188,Suriname Guerrilla War,1986-01-01T00:00:00Z,1992-01-01T00:00:00Z,1986-1992 civil war in Suriname,,
Q1781457,Bissau-Guinean Civil War,1998-06-07T00:00:00Z,1999-05-10T00:00:00Z,1998-1999 civil war in Guinea-Bissau,,
Q1021172,Republic of the Congo Civil War,1997-01-01T00:00:00Z,1999-01-01T00:00:00Z,civil war,,
Q1960733,Second Liberian Civil War,1999-04-21T00:00:00Z,2003-08-18T00:00:00Z,1999-2003 civil war in Liberia,,
Q1122422,Paraguayan Civil War of 1947,1947-03-07T00:00:00Z,1947-08-20T00:00:00Z,1947 civil war in Paraguay,,
Q1282732,Guatemalan Civil War,1965-03-03T00:00:00Z,1996-12-29T00:00:00Z,1960-1996 civil war in Guatemala,,
Q178810,Syrian Civil War,2011-03-15T00:00:00Z,,ongoing multi-sided armed conflict in Syria,,
Q2002975,Nepalese Civil War,1996-02-13T00:00:00Z,2006-11-21T00:00:00Z,civil war in Nepal between 1996 and 2006,,
Q243620,Somali Civil War,1991-01-26T00:00:00Z,,civil war taking place in Somalia since 1991,,
Q1980081,Civil war in Afghanistan (1992–96),1992-04-30T00:00:00Z,1996-09-27T00:00:00Z,,Q2405009,Q12302518
Q257724,Ethiopian Civil War,1974-09-12T00:00:00Z,1991-06-04T00:00:00Z,civil war in Ethiopia between 1974 and 1991,,
Q1070890,Georgian Civil War,1991-12-22T00:00:00Z,1993-12-31T00:00:00Z,war,,
Q17272643,spillover of the Syrian Civil War,2011-01-01T00:00:00Z,,impact of the Syrian Civil War in the Arab world,,
Q381375,Nagorno-Karabakh War,1988-02-20T00:00:00Z,1994-05-12T00:00:00Z,armed conflict that took place in the late 1980s to May 1994,,
Q322607,War of Attrition,1967-07-01T00:00:00Z,1970-08-07T00:00:00Z,1967-1970 war between Israel and Egypt,,
Q959303,War in Abkhazia (1998),1998-05-20T00:00:00Z,1998-05-26T00:00:00Z,ethnic armed conflict in the western Georgian region of Abkhazia,,
Q748780,First Indochina War,1946-12-19T00:00:00Z,1954-08-01T00:00:00Z,war in French Indochina from 1946 to 1954,,
Q242352,Yugoslav Wars,1991-03-31T00:00:00Z,2001-11-12T00:00:00Z,ethnic conflicts fought from 1991 to 2001 on the territory of former Yugoslavia,,
Q4072719,Afghanistan–Pakistan skirmishes,1949-01-01T00:00:00Z,,"cross-border shellings that have occurred since 1949, lately since mid-2003",,
Q303801,Lord's Resistance Army insurgency,1987-01-01T00:00:00Z,,ongoing insurgency in central africa,,
Q1143379,1991–1992 South Ossetia War,1991-01-05T00:00:00Z,1992-06-24T00:00:00Z,war,,
Q6067814,Iraq War troop surge of 2007,2007-01-10T00:00:00Z,2008-07-01T00:00:00Z,increase in US soldiers stationed in Iraq,,
Q1072042,War in Somalia (2006-2009),2006-12-20T00:00:00Z,2009-01-30T00:00:00Z,"armed conflict involving largely Ethiopian and Somali Transitional Federal Government (TFG) forces and Somali troops from Puntland vs the Somali Islamist umbrella group, the Islamic Court Union (ICU) and other affiliated militias",,Q1052332
Q17324420,2014 Israel–Gaza conflict,2014-07-08T00:00:00Z,2014-08-26T00:00:00Z,War fought between the Israel Defense Forces and the Hamas-governed Gaza Strip during 2014,,
Q3151731,Dirty War,1954-01-01T00:00:00Z,2000-01-01T00:00:00Z,Mexico,,
Q223085,Football War,1969-07-14T00:00:00Z,1969-07-18T00:00:00Z,1969 War between Honduras and El Salvador,,
Q1936011,Cold War (1962–79),1962-01-01T00:00:00Z,1979-01-01T00:00:00Z,Phase of The Cold War,,
Q623171,Sino-Vietnamese War,1979-02-17T00:00:00Z,1979-03-16T00:00:00Z,war between the People's Republic of China and Socialist Republic of Vietnam in 1979,,
Q619749,Kurdish–Turkish conflict,2015-07-24T00:00:00Z,,armed conflict between the Republic of Turkey and various Kurdish insurgent groups,,
Q16335075,War in Donbass,2014-04-06T00:00:00Z,,armed conflict in the Donbass region of Ukraine,,
Q327237,Kivu conflict,2004-01-01T00:00:00Z,,conflict in the Democratic Republic of the Congo,,
Q3119132,Indo-Pakistani wars and conflicts,1947-10-22T00:00:00Z,,wars between India and Pakistan,,
Q580961,Agacher Strip War,1985-12-14T00:00:00Z,1985-12-30T00:00:00Z,,,
Q553184,Gaza–Israel conflict,2006-06-01T00:00:00Z,,conflict between Gaza and Israel,,
Q620735,Russo-Georgian War,2008-08-07T00:00:00Z,2008-08-12T00:00:00Z,2008 war between Russia and Georgia in South Ossetia,,
Q1434602,Libyan–Egyptian War,1977-07-21T00:00:00Z,1977-07-24T00:00:00Z,war,,
Q16974363,Eastern Theater of Eelam War IV,2006-07-21T00:00:00Z,2007-07-11T00:00:00Z,,,
